Co Code,Bus Entity,Profit Centre,Project Code,Project,Project Region Old,SegForSegReprt_SEGMENT,Division,Post Code,City,District,Postal Area,Street,Project Type,CompanyGroup,Company Group_Old,Profit Center Name,Profit Center Long Name,Profit Center Short Name,Profit Center Source,Project Region,Region Code,Inventory Status,Company Group,Company,FLAG1,FLAG2,FLAG3
1000,ERJAP1,THEKLAP04,Avenida,Avenida,East,R120,Premium Homes,700156,Kolkata,Kolkata,,"Rajarhat II, Kolkata",Residential,TH,Tata Housing,R-Avenida Premium.P4,Rajarhat - Avenida Premium ph4,R-AVENIDA PREMIUM.P4,SAP,East,E,ONGOING,Tata Housing,Tata Housing Dev Co. Ltd,,X,
3000,SMBNH1,TVSMBNH01,Mambakkam,NH Ribbon Walk,South,R110,Affortable Homes,600127,Chennai,Kancheepuram,,Vandalur Kelambakkam Rd,Residential,TV,Tata Value Homes,Mambakkam - NH Ph1,Mambakkam - New Haven Ph1,MAMBAKKAM - NH PH1,SAP,South,S,ONGOING,Tata Value Homes,Tata Value Homes Limited,,,
1130,NSOAL1,SONGGAL01,Sohna City,Arabella,North,R130,Luxury Homes,122103,Gurgaon,Sohna,,"Sec 11 and 14, Sohna",Residential,TH,Tata Housing,Sohna-Arabella Ph1,Sohna City - Arabella Ph1,SOHNA-ARABELLA PH1,SAP,North,N,ONGOING,Tata Housing,Sohna City LLP,,,
1130,NSOAL1,SONGGAL03,Sohna City,Arabella,North,R130,Luxury Homes,122103,Gurgaon,Sohna,,"Sec 11 and 14, Sohna",Residential,TH,Tata Housing,Sohna-Arabella Ph3,Sohna City - Arabella Ph3,SOHNA-ARABELLA PH3,SAP,North,N,ONGOING,Tata Housing,Sohna City LLP,,,
1130,NSOAL1,SONSOC000,Sohna City,Arabella,North,RONI,Regional Office North India,122103,Gurgaon,Sohna,,"Sec 11 and 14, Sohna",Residential,TH,Tata Housing,Sohna City- Common,Sohna City- Common project,SOHNA CITY- COMMON,SAP,North,N,ONGOING,Tata Housing,Sohna City LLP,,,
3051,NBHNH1,HPNBGNH01,Bahadurgar,NH Bahadurgarh,North,R110,Affortable Homes,122001,Bahadurgarh,Jhajjar,,"Sector 37, Village Nuna Majra",Residential,TV,Tata Value Homes,HLP-BahadurGarh NH 1,HL PROMOTERS- BahadurGarh New Heaven Ph1,HLP-BAHADURGARH NH 1,SAP,North,N,ONGOING,Tata Value Homes,HL Promoters Private Ltd,,,
3051,NBHNH2,HPNBGNH02,Bahadurgar,NH Bahadurgarh,North,R110,Affortable Homes,122001,Bahadurgarh,Jhajjar,,"Sector 37, Village Nuna Majra",Residential,TV,Tata Value Homes,HLP-BahadurGarh NH 2,HL PROMOTERS- BahadurGarh New Heaven Ph2,HLP-BAHADURGARH NH 2,SAP,North,N,ONGOING,Tata Value Homes,HL Promoters Private Ltd,,,
3030,WBONH1,TVWBRNH01,Boisar II,NH Boisar II,West,R110,Affortable Homes,401501,Boisar,Palghar,,"Village Panchali, Palghar",Residential,TV,Tata Value Homes,BoisarII - Affd. PH1,Boisar II - Affordable PH 1,BOISARII - AFFD. PH1,SAP,West,W,ONGOING,Tata Value Homes,SVH (Boisar) PL,,,
3030,WBONH1,TVWBRNH1B,Boisar II,NH Boisar II,West,R110,Affortable Homes,401501,Boisar,Palghar,,"Village Panchali, Palghar",Residential,TV,Tata Value Homes,BoisarII -Affd. PH1B,Boisar II - Affordable PH 1B,BOISARII -AFFD. PH1B,SAP,West,W,ONGOING,Tata Value Homes,SVH (Boisar) PL,,,
3030,WBONH1,TVWBRNH1C,Boisar II,NH Boisar II,West,R110,Affortable Homes,401501,Boisar,Palghar,,"Village Panchali, Palghar",Residential,TV,Tata Value Homes,BoisarII -Affd. PH1C,Boisar II - Affordable PH 1C,BOISARII -AFFD. PH1C,SAP,West,W,ONGOING,Tata Value Homes,SVH (Boisar) PL,,,
